2016-03-26:16-37-45|24.10:45.10::844
2016-03-26:16-37-53|24.10:45.20::840
2016-03-26:16-38-01|24.10:45.20::837
2016-03-26:16-38-01|24.20:45.30::837
2016-03-26:16-38-09|24.10:45.20::833
2016-03-26:16-38-17|24.10:45.20::834
2016-03-26:16-38-24|24.10:45.20::833
2016-03-26:16-38-32|24.10:45.20::830
2016-03-26:16-38-40|24.10:45.20::826
2016-03-26:16-38-48|24.10:45.20::820
2016-03-26:16-38-56|24.10:45.20::807
2016-03-26:16-39-01|24.10:45.40::800
2016-03-26:16-39-05|24.10:45.30::800
2016-03-26:16-39-12|24.10:45.30::793
2016-03-26:16-39-20|24.10:45.30::787
2016-03-26:16-39-29|24.10:45.30::786
2016-03-26:16-39-36|24.10:45.30::785
2016-03-26:16-39-44|24.10:45.30::784
2016-03-26:16-39-52|24.10:45.30::778
2016-03-26:16-40-01|24.10:45.30::771
2016-03-26:16-40-01|24.10:45.30::770
2016-03-26:16-40-10|24.10:45.30::754
2016-03-26:16-40-18|24.10:45.30::734
2016-03-26:16-40-26|24.10:45.30::722
2016-03-26:16-40-36|24.10:45.30::699
2016-03-26:16-40-46|24.10:45.30::699
2016-03-26:16-40-55|24.10:45.10::702
2016-03-26:16-41-01|24.10:45.10::704
2016-03-26:16-41-03|24.10:45.30::705
2016-03-26:16-41-12|24.10:45.30::706
2016-03-26:16-41-20|24.10:45.30::705
2016-03-26:16-41-27|24.10:45.40::703
2016-03-26:16-41-36|24.10:45.40::700
2016-03-26:16-41-44|24.10:45.40::702
2016-03-26:16-41-51|24.10:45.30::701
2016-03-26:16-42-00|24.10:45.40::698
2016-03-26:16-42-02|24.10:45.40::698
2016-03-26:16-42-08|24.10:45.40::698
2016-03-26:16-42-15|24.10:45.30::697
2016-03-26:16-42-25|24.10:45.40::695
2016-03-26:16-42-33|24.10:45.30::696
2016-03-26:16-42-44|24.10:45.40::698
2016-03-26:16-42-53|24.10:45.40::704
2016-03-26:16-43-01|24.10:45.40::693
2016-03-26:16-43-02|24.10:45.40::699
2016-03-26:16-43-11|24.10:45.30::691
2016-03-26:16-43-18|24.10:45.40::690
2016-03-26:16-43-27|24.10:45.40::697
2016-03-26:16-43-36|24.10:45.40::692
2016-03-26:16-43-45|24.10:45.40::689
2016-03-26:16-43-54|24.10:45.50::679
2016-03-26:16-44-01|24.10:45.50::678
2016-03-26:16-44-03|24.10:45.50::677
2016-03-26:16-44-12|24.10:45.50::674
2016-03-26:16-44-19|24.10:45.50::671
2016-03-26:16-44-29|24.10:45.50::672
2016-03-26:16-44-38|24.10:45.70::666
2016-03-26:16-44-46|24.10:45.50::659
2016-03-26:16-44-53|24.10:45.50::658
2016-03-26:16-45-01|24.10:45.50::656
2016-03-26:16-45-01|24.10:45.50::655
2016-03-26:16-45-12|24.10:45.50::653
2016-03-26:16-45-20|24.10:45.50::650
2016-03-26:16-45-28|24.00:45.40::650
2016-03-26:16-45-36|24.10:45.50::646
2016-03-26:16-45-43|24.10:45.40::656
2016-03-26:16-45-51|24.00:45.40::640
2016-03-26:16-46-02|24.00:45.40::639
2016-03-26:16-46-01|24.00:45.40::638
2016-03-26:16-46-10|24.00:45.40::639
2016-03-26:16-46-20|24.00:45.40::642
2016-03-26:16-46-28|24.00:45.40::637
2016-03-26:16-46-36|24.00:45.40::628
2016-03-26:16-46-43|24.00:45.40::628
2016-03-26:16-46-52|24.10:45.50::638
2016-03-26:16-47-00|24.00:45.40::631
2016-03-26:16-47-01|24.00:45.60::631
2016-03-26:16-47-08|24.00:45.40::628
2016-03-26:16-47-16|24.00:45.50::625
2016-03-26:16-47-24|24.00:45.50::629
2016-03-26:16-47-31|24.00:45.40::620
2016-03-26:16-47-39|24.00:45.50::616
2016-03-26:16-47-47|24.00:45.50::612
2016-03-26:16-47-54|24.00:45.50::610
2016-03-26:16-48-01|24.10:45.50::608
2016-03-26:16-48-02|24.00:45.50::608
2016-03-26:16-48-10|24.00:45.50::603
2016-03-26:16-48-17|24.00:45.50::599
2016-03-26:16-48-25|24.00:45.50::598
2016-03-26:16-48-33|24.00:45.50::597
2016-03-26:16-48-40|24.00:45.50::594
2016-03-26:16-48-48|24.00:45.50::592
2016-03-26:16-48-56|24.00:45.50::591
2016-03-26:16-49-01|24.00:45.50::589
2016-03-26:16-49-04|24.00:45.60::588
2016-03-26:16-49-13|24.00:45.50::585
2016-03-26:16-49-21|24.00:45.50::582
2016-03-26:16-49-28|24.00:45.50::580
2016-03-26:16-49-36|24.00:45.50::578
2016-03-26:16-49-44|24.00:45.50::577
2016-03-26:16-49-52|24.00:45.50::576
2016-03-26:16-50-00|24.00:45.50::576
2016-03-26:16-50-01|24.00:45.50::577
2016-03-26:16-50-08|24.00:45.60::577
2016-03-26:16-50-15|24.00:45.60::578
2016-03-26:16-50-23|24.00:45.60::580
2016-03-26:16-50-31|24.00:45.60::582
2016-03-26:16-50-40|24.00:45.60::590
2016-03-26:16-50-48|24.00:45.60::594
2016-03-26:16-50-56|24.00:45.60::585
2016-03-26:16-51-01|24.00:45.60::583
2016-03-26:16-51-03|24.00:45.60::581
2016-03-26:16-51-13|24.00:45.60::580
2016-03-26:16-51-22|24.00:45.70::581
2016-03-26:16-51-30|24.00:45.60::570
2016-03-26:16-51-37|24.00:45.60::563
2016-03-26:16-51-46|24.00:45.70::559
2016-03-26:16-51-54|24.00:45.60::550
2016-03-26:16-52-01|24.00:45.60::541
2016-03-26:16-52-01|24.00:45.60::541
2016-03-26:16-52-10|24.00:45.60::537
2016-03-26:16-52-18|24.00:45.60::533
2016-03-26:16-52-25|24.00:45.60::530
2016-03-26:16-52-34|24.00:45.70::529
2016-03-26:16-52-43|24.00:45.70::525
2016-03-26:16-52-51|24.00:45.70::525
2016-03-26:16-52-59|24.00:45.70::525
2016-03-26:16-53-02|24.00:45.70::524
2016-03-26:16-53-07|24.00:45.70::524
2016-03-26:16-53-15|24.00:45.70::519
2016-03-26:16-53-22|24.00:45.70::516
2016-03-26:16-53-30|24.00:45.70::510
2016-03-26:16-53-39|24.00:45.70::504
2016-03-26:16-53-49|24.00:45.70::500
